datetime,Q,year,month,day
1922-10-17,4540,1922,10,17
1922-10-18,4540,1922,10,18
1922-10-19,4540,1922,10,19
1922-10-20,4540,1922,10,20
1922-10-21,4790,1922,10,21
1922-10-22,4790,1922,10,22
1922-10-23,4790,1922,10,23
1922-10-24,4790,1922,10,24
1922-10-25,4790,1922,10,25
1922-10-26,4790,1922,10,26
1922-10-27,4920,1922,10,27
1922-10-28,4920,1922,10,28
1922-10-29,5170,1922,10,29
1922-10-30,5170,1922,10,30
1922-10-31,5170,1922,10,31
1922-11-01,5170,1922,11,1
1922-11-02,5300,1922,11,2
1922-11-03,5580,1922,11,3
1922-11-04,6020,1922,11,4
1922-11-05,6480,1922,11,5
1922-11-06,6480,1922,11,6
1922-11-07,6480,1922,11,7
1922-11-08,6640,1922,11,8
1922-11-09,6960,1922,11,9
1922-11-10,7130,1922,11,10
1922-11-11,7130,1922,11,11
1922-11-12,6960,1922,11,12
1922-11-13,6960,1922,11,13
1922-11-14,6960,1922,11,14
1922-11-15,7130,1922,11,15
1922-11-16,7130,1922,11,16
1922-11-17,7300,1922,11,17
1922-11-18,7300,1922,11,18
1922-11-19,6960,1922,11,19
1922-11-20,6640,1922,11,20
1922-11-21,6480,1922,11,21
1922-11-22,6480,1922,11,22
1922-11-23,6640,1922,11,23
1922-11-24,6800,1922,11,24
1922-11-25,6960,1922,11,25
1922-11-26,6960,1922,11,26
1922-11-27,6960,1922,11,27
1922-11-28,7130,1922,11,28
1922-11-29,6960,1922,11,29
1922-11-30,6960,1922,11,30
1922-12-01,7130,1922,12,1
1922-12-02,6640,1922,12,2
1922-12-03,7130,1922,12,3
1922-12-04,7130,1922,12,4
1922-12-05,6960,1922,12,5
1922-12-06,6800,1922,12,6
1922-12-07,6640,1922,12,7
1922-12-08,6960,1922,12,8
1922-12-09,7130,1922,12,9
1922-12-10,7130,1922,12,10
1922-12-11,6960,1922,12,11
1922-12-12,6800,1922,12,12
1922-12-13,6640,1922,12,13
1922-12-14,6800,1922,12,14
1922-12-15,6320,1922,12,15
1922-12-16,6170,1922,12,16
1922-12-17,5870,1922,12,17
1922-12-18,6170,1922,12,18
1922-12-19,6960,1922,12,19
1922-12-20,7130,1922,12,20
1922-12-21,7130,1922,12,21
1922-12-22,7130,1922,12,22
1922-12-23,7130,1922,12,23
1922-12-24,6480,1922,12,24
1922-12-25,6020,1922,12,25
1922-12-26,4920,1922,12,26
1922-12-27,4920,1922,12,27
1922-12-28,4920,1922,12,28
1922-12-29,4920,1922,12,29
1922-12-30,5300,1922,12,30
1922-12-31,5580,1922,12,31
1923-01-01,5720,1923,1,1
1923-01-02,5870,1923,1,2
1923-01-03,6320,1923,1,3
1923-01-04,5720,1923,1,4
1923-01-05,5440,1923,1,5
1923-01-06,5870,1923,1,6
1923-01-07,5170,1923,1,7
1923-01-08,5300,1923,1,8
1923-01-09,5300,1923,1,9
1923-01-10,5580,1923,1,10
1923-01-11,6020,1923,1,11
1923-01-12,6170,1923,1,12
1923-01-13,6020,1923,1,13
1923-01-14,6170,1923,1,14
1923-01-15,6320,1923,1,15
1923-01-16,6480,1923,1,16
1923-01-17,6480,1923,1,17
1923-01-18,6320,1923,1,18
1923-01-19,6260,1923,1,19
1923-01-20,6260,1923,1,20
1923-01-21,6260,1923,1,21
1923-01-22,6090,1923,1,22
1923-01-23,6090,1923,1,23
1923-01-24,6090,1923,1,24
1923-01-25,6260,1923,1,25
1923-01-26,6260,1923,1,26
1923-01-27,6440,1923,1,27
1923-01-28,6620,1923,1,28
1923-01-29,6440,1923,1,29
1923-01-30,6260,1923,1,30
1923-01-31,6260,1923,1,31
1923-02-01,6260,1923,2,1
1923-02-02,6090,1923,2,2
1923-02-03,6090,1923,2,3
1923-02-04,6090,1923,2,4
1923-02-05,6090,1923,2,5
1923-02-06,6090,1923,2,6
1923-02-07,5920,1923,2,7
1923-02-08,5400,1923,2,8
1923-02-09,5230,1923,2,9
1923-02-10,5230,1923,2,10
1923-02-11,5060,1923,2,11
1923-02-12,5060,1923,2,12
1923-02-13,5060,1923,2,13
1923-02-14,5230,1923,2,14
1923-02-15,5230,1923,2,15
1923-02-16,5400,1923,2,16
1923-02-17,5740,1923,2,17
1923-02-18,5920,1923,2,18
1923-02-19,6090,1923,2,19
1923-02-20,6260,1923,2,20
1923-02-21,6800,1923,2,21
1923-02-22,6800,1923,2,22
1923-02-23,6980,1923,2,23
1923-02-24,6980,1923,2,24
1923-02-25,7160,1923,2,25
1923-02-26,7340,1923,2,26
1923-02-27,7530,1923,2,27
1923-02-28,7530,1923,2,28
1923-03-01,7530,1923,3,1
1923-03-02,7340,1923,3,2
1923-03-03,7340,1923,3,3
1923-03-04,6980,1923,3,4
1923-03-05,6980,1923,3,5
1923-03-06,6980,1923,3,6
1923-03-07,7340,1923,3,7
1923-03-08,7910,1923,3,8
1923-03-09,7910,1923,3,9
1923-03-10,7530,1923,3,10
1923-03-11,7160,1923,3,11
1923-03-12,7160,1923,3,12
1923-03-13,7160,1923,3,13
1923-03-14,7530,1923,3,14
1923-03-15,7910,1923,3,15
1923-03-16,7720,1923,3,16
1923-03-17,7720,1923,3,17
1923-03-18,7720,1923,3,18
1923-03-19,7720,1923,3,19
1923-03-20,7720,1923,3,20
1923-03-21,7340,1923,3,21
1923-03-22,7160,1923,3,22
1923-03-23,6980,1923,3,23
1923-03-24,6980,1923,3,24
1923-03-25,6980,1923,3,25
1923-03-26,6980,1923,3,26
1923-03-27,6800,1923,3,27
1923-03-28,6620,1923,3,28
1923-03-29,6620,1923,3,29
1923-03-30,6440,1923,3,30
1923-03-31,6980,1923,3,31
1923-04-01,8690,1923,4,1
1923-04-02,13100,1923,4,2
1923-04-03,16100,1923,4,3
1923-04-04,19400,1923,4,4
1923-04-05,21100,1923,4,5
1923-04-06,20800,1923,4,6
1923-04-07,20400,1923,4,7
1923-04-08,18300,1923,4,8
1923-04-09,17000,1923,4,9
1923-04-10,15800,1923,4,10
1923-04-11,15800,1923,4,11
1923-04-12,17700,1923,4,12
1923-04-13,19000,1923,4,13
1923-04-14,19000,1923,4,14
1923-04-15,18600,1923,4,15
1923-04-16,19000,1923,4,16
1923-04-17,21100,1923,4,17
1923-04-18,23100,1923,4,18
1923-04-19,24800,1923,4,19
1923-04-20,24800,1923,4,20
1923-04-21,25600,1923,4,21
1923-04-22,28400,1923,4,22
1923-04-23,30700,1923,4,23
1923-04-24,31200,1923,4,24
1923-04-25,32100,1923,4,25
1923-04-26,29700,1923,4,26
1923-04-27,26100,1923,4,27
1923-04-28,23100,1923,4,28
1923-04-29,21500,1923,4,29
1923-04-30,20800,1923,4,30
1923-05-01,21400,1923,5,1
1923-05-02,22500,1923,5,2
1923-05-03,26300,1923,5,3
1923-05-04,30400,1923,5,4
1923-05-05,31700,1923,5,5
1923-05-06,35400,1923,5,6
1923-05-07,40900,1923,5,7
1923-05-08,47300,1923,5,8
1923-05-09,50700,1923,5,9
1923-05-10,56500,1923,5,10
1923-05-11,58900,1923,5,11
1923-05-12,63800,1923,5,12
1923-05-13,67400,1923,5,13
1923-05-14,71500,1923,5,14
1923-05-15,71000,1923,5,15
1923-05-16,69200,1923,5,16
1923-05-17,63200,1923,5,17
1923-05-18,57100,1923,5,18
1923-05-19,54700,1923,5,19
1923-05-20,55300,1923,5,20
1923-05-21,57100,1923,5,21
1923-05-22,60800,1923,5,22
1923-05-23,67400,1923,5,23
1923-05-24,72700,1923,5,24
1923-05-25,73300,1923,5,25
1923-05-26,70400,1923,5,26
1923-05-27,72100,1923,5,27
1923-05-28,75600,1923,5,28
1923-05-29,85400,1923,5,29
1923-05-30,93100,1923,5,30
1923-05-31,96200,1923,5,31
1923-06-01,94200,1923,6,1
1923-06-02,90700,1923,6,2
1923-06-03,89600,1923,6,3
1923-06-04,87800,1923,6,4
1923-06-05,85500,1923,6,5
1923-06-06,86100,1923,6,6
1923-06-07,85500,1923,6,7
1923-06-08,80300,1923,6,8
1923-06-09,75100,1923,6,9
1923-06-10,73900,1923,6,10
1923-06-11,71600,1923,6,11
1923-06-12,70400,1923,6,12
1923-06-13,69900,1923,6,13
1923-06-14,72800,1923,6,14
1923-06-15,77400,1923,6,15
1923-06-16,82000,1923,6,16
1923-06-17,85500,1923,6,17
1923-06-18,87800,1923,6,18
1923-06-19,87800,1923,6,19
1923-06-20,84400,1923,6,20
1923-06-21,79700,1923,6,21
1923-06-22,74500,1923,6,22
1923-06-23,70400,1923,6,23
1923-06-24,67500,1923,6,24
1923-06-25,64600,1923,6,25
1923-06-26,61200,1923,6,26
1923-06-27,59400,1923,6,27
1923-06-28,60000,1923,6,28
1923-06-29,61200,1923,6,29
1923-06-30,62300,1923,6,30
1923-07-01,58800,1923,7,1
1923-07-02,55400,1923,7,2
1923-07-03,51900,1923,7,3
1923-07-04,49600,1923,7,4
1923-07-05,47200,1923,7,5
1923-07-06,43800,1923,7,6
1923-07-07,41000,1923,7,7
1923-07-08,40400,1923,7,8
1923-07-09,39400,1923,7,9
1923-07-10,40400,1923,7,10
1923-07-11,42100,1923,7,11
1923-07-12,42100,1923,7,12
1923-07-13,41000,1923,7,13
1923-07-14,40400,1923,7,14
1923-07-15,38800,1923,7,15
1923-07-16,38200,1923,7,16
1923-07-17,39400,1923,7,17
1923-07-18,35600,1923,7,18
1923-07-19,35600,1923,7,19
1923-07-20,34100,1923,7,20
1923-07-21,32100,1923,7,21
1923-07-22,31600,1923,7,22
1923-07-23,31200,1923,7,23
1923-07-24,34100,1923,7,24
1923-07-25,31600,1923,7,25
1923-07-26,28400,1923,7,26
1923-07-27,27000,1923,7,27
1923-07-28,25600,1923,7,28
1923-07-29,24400,1923,7,29
1923-07-30,24000,1923,7,30
1923-07-31,26600,1923,7,31
1923-08-01,25200,1923,8,1
1923-08-02,22700,1923,8,2
1923-08-03,22700,1923,8,3
1923-08-04,21500,1923,8,4
1923-08-05,20800,1923,8,5
1923-08-06,20800,1923,8,6
1923-08-07,20400,1923,8,7
1923-08-08,19000,1923,8,8
1923-08-09,17700,1923,8,9
1923-08-10,16400,1923,8,10
1923-08-11,17700,1923,8,11
1923-08-12,16700,1923,8,12
1923-08-13,22300,1923,8,13
1923-08-14,23500,1923,8,14
1923-08-15,28800,1923,8,15
